RECEPTOR,odorant,SMILES,output,Protein sequence
AgOr1,ammonia,,-1,
AgOr2,ammonia,,1,
AgOr3,ammonia,,0,
AgOr4,ammonia,,1,
AgOr5,ammonia,,2,
AgOr6,ammonia,,3,
AgOr8,ammonia,,6,
AgOr9,ammonia,,0,
AgOr10,ammonia,,1,
AgOr11,ammonia,,5,
AgOr12,ammonia,,-2,
AgOr13,ammonia,,1,
AgOr15,ammonia,,2,
AgOr16,ammonia,,0,
AgOr18,ammonia,,4,
AgOr20,ammonia,,1,
AgOr21,ammonia,,8,
AgOr23,ammonia,,-1,
AgOr25,ammonia,,2,
AgOr26,ammonia,,1,
AgOr27,ammonia,,0,
AgOr30,ammonia,,3,
AgOr31,ammonia,,4,
AgOr32,ammonia,,-6,
AgOr33,ammonia,,-4,
AgOr35,ammonia,,-5,
AgOr38,ammonia,,-3,
AgOr39,ammonia,,3,
AgOr41,ammonia,,-9,
AgOr42,ammonia,,-2,
AgOr43,ammonia,,-14,
AgOr44,ammonia,,0,
AgOr45,ammonia,,-4,
AgOr46,ammonia,,51,
AgOr48,ammonia,,-2,
AgOr50,ammonia,,10,
AgOr53,ammonia,,2,
AgOr54,ammonia,,-11,
AgOr56,ammonia,,2,
AgOr57,ammonia,,0,
AgOr59,ammonia,,-1,
AgOr61,ammonia,,-2,
AgOr63,ammonia,,2,
AgOr64,ammonia,,-7,
AgOr65,ammonia,,0,
AgOr66,ammonia,,-3,
AgOr67,ammonia,,-6,
AgOr73,ammonia,,-5,
AgOr75,ammonia,,-4,
AgOr76,ammonia,,4,
AgOr1,putrescine,,-7,
AgOr2,putrescine,,2,
AgOr3,putrescine,,-3,
AgOr4,putrescine,,1,
AgOr5,putrescine,,-3,
AgOr6,putrescine,,3,
AgOr8,putrescine,,2,
AgOr9,putrescine,,3,
AgOr10,putrescine,,-1,
AgOr11,putrescine,,7,
AgOr12,putrescine,,4,
AgOr13,putrescine,,0,
AgOr15,putrescine,,3,
AgOr16,putrescine,,0,
AgOr18,putrescine,,0,
AgOr20,putrescine,,5,
AgOr21,putrescine,,3,
AgOr23,putrescine,,1,
AgOr25,putrescine,,-2,
AgOr26,putrescine,,0,
AgOr27,putrescine,,1,
AgOr30,putrescine,,2,
AgOr31,putrescine,,-5,
AgOr32,putrescine,,-1,
AgOr33,putrescine,,-4,
AgOr35,putrescine,,-13,
AgOr38,putrescine,,-1,
AgOr39,putrescine,,0,
AgOr41,putrescine,,-5,
AgOr42,putrescine,,-2,
AgOr43,putrescine,,-3,
AgOr44,putrescine,,-4,
AgOr45,putrescine,,-6,
AgOr46,putrescine,,11,
AgOr48,putrescine,,1,
AgOr50,putrescine,,0,
AgOr53,putrescine,,1,
AgOr54,putrescine,,-11,
AgOr56,putrescine,,-3,
AgOr57,putrescine,,-4,
AgOr59,putrescine,,0,
AgOr61,putrescine,,-2,
AgOr63,putrescine,,2,
AgOr64,putrescine,,-3,
AgOr65,putrescine,,-10,
AgOr66,putrescine,,-6,
AgOr67,putrescine,,-2,
AgOr73,putrescine,,1,
AgOr75,putrescine,,-4,
AgOr76,putrescine,,-2,
AgOr1,cadaverine,,-6,
AgOr2,cadaverine,,1,
AgOr3,cadaverine,,-2,
AgOr4,cadaverine,,3,
AgOr5,cadaverine,,-1,
AgOr6,cadaverine,,2,
AgOr8,cadaverine,,8,
AgOr9,cadaverine,,-3,
AgOr10,cadaverine,,-1,
AgOr11,cadaverine,,0,
AgOr12,cadaverine,,1,
AgOr13,cadaverine,,0,
AgOr15,cadaverine,,6,
AgOr16,cadaverine,,0,
AgOr18,cadaverine,,-5,
AgOr20,cadaverine,,0,
AgOr21,cadaverine,,-1,
AgOr23,cadaverine,,0,
AgOr25,cadaverine,,0,
AgOr26,cadaverine,,0,
AgOr27,cadaverine,,5,
AgOr30,cadaverine,,2,
AgOr31,cadaverine,,2,
AgOr32,cadaverine,,-1,
AgOr33,cadaverine,,-4,
AgOr35,cadaverine,,-14,
AgOr38,cadaverine,,-2,
AgOr39,cadaverine,,0,
AgOr41,cadaverine,,-5,
AgOr42,cadaverine,,2,
AgOr43,cadaverine,,-8,
AgOr44,cadaverine,,-5,
AgOr45,cadaverine,,-4,
AgOr46,cadaverine,,10,
AgOr48,cadaverine,,-5,
AgOr50,cadaverine,,0,
AgOr53,cadaverine,,-1,
AgOr54,cadaverine,,-16,
AgOr56,cadaverine,,-3,
AgOr57,cadaverine,,-8,
AgOr59,cadaverine,,4,
AgOr61,cadaverine,,-1,
AgOr63,cadaverine,,5,
AgOr64,cadaverine,,1,
AgOr65,cadaverine,,2,
AgOr66,cadaverine,,-7,
AgOr67,cadaverine,,-6,
AgOr73,cadaverine,,-2,
AgOr75,cadaverine,,-5,
AgOr76,cadaverine,,1,
AgOr1,gamma-decalactone,,2,
AgOr2,gamma-decalactone,,4,
AgOr3,gamma-decalactone,,3,
AgOr4,gamma-decalactone,,1,
AgOr5,gamma-decalactone,,6,
AgOr6,gamma-decalactone,,-1,
AgOr8,gamma-decalactone,,-5,
AgOr9,gamma-decalactone,,1,
AgOr10,gamma-decalactone,,1,
AgOr11,gamma-decalactone,,-2,
AgOr12,gamma-decalactone,,-1,
AgOr13,gamma-decalactone,,0,
AgOr15,gamma-decalactone,,1,
AgOr16,gamma-decalactone,,0,
AgOr18,gamma-decalactone,,4,
AgOr20,gamma-decalactone,,3,
AgOr21,gamma-decalactone,,0,
AgOr23,gamma-decalactone,,3,
AgOr25,gamma-decalactone,,1,
AgOr26,gamma-decalactone,,0,
AgOr27,gamma-decalactone,,4,
AgOr30,gamma-decalactone,,-6,
AgOr31,gamma-decalactone,,3,
AgOr32,gamma-decalactone,,4,
AgOr33,gamma-decalactone,,1,
AgOr35,gamma-decalactone,,2,
AgOr38,gamma-decalactone,,3,
AgOr39,gamma-decalactone,,1,
AgOr41,gamma-decalactone,,0,
AgOr42,gamma-decalactone,,1,
AgOr43,gamma-decalactone,,1,
AgOr44,gamma-decalactone,,3,
AgOr45,gamma-decalactone,,2,
AgOr46,gamma-decalactone,,0,
AgOr48,gamma-decalactone,,18,
AgOr50,gamma-decalactone,,2,
AgOr53,gamma-decalactone,,3,
AgOr54,gamma-decalactone,,2,
AgOr56,gamma-decalactone,,-2,
AgOr57,gamma-decalactone,,4,
AgOr59,gamma-decalactone,,0,
AgOr61,gamma-decalactone,,0,
AgOr63,gamma-decalactone,,-1,
AgOr64,gamma-decalactone,,3,
AgOr65,gamma-decalactone,,5,
AgOr66,gamma-decalactone,,0,
AgOr67,gamma-decalactone,,5,
AgOr73,gamma-decalactone,,2,
AgOr75,gamma-decalactone,,1,
AgOr76,gamma-decalactone,,-4,
AgOr1,delta-decalactone,,2,
